chatId,n_turns,duration_minutes,total_words,avg_prompt_len,question_ratio,avg_unique_ratio,label_switch_count,unique_help_types,dominant_help_type,dominant_sentiment
91bb97ab-bb50-4dec-9e16-22075551bc0f,14,1238.73,1268,90.57142857142857,0.07142857142857142,0.742330677188842,11,5,provide_context,NEUTRAL
35814225-aac7-4d47-bba1-5013a9db9b3e,2,1.95,61,30.5,0.0,0.9848484848484849,1,2,contextual_questions,NEUTRAL
c6ca810e-b67c-4561-82d4-b19f619f9cf1,1,0.0,205,205.0,1.0,0.5804878048780487,0,1,contextual_questions,NEUTRAL
6f7dd377-fc1d-4666-88df-fb6bd94aa18e,3,25.44,167,55.666666666666664,0.6666666666666666,0.8120616971680802,1,2,contextual_questions,NEUTRAL
547516c1-9096-4d2a-ba74-f2b2c58590eb,2,113.02,71,35.5,0.5,0.875,1,2,verification,NEUTRAL
ac2bbdee-f515-434e-b92a-f10fa493c351,1,0.0,394,394.0,0.0,0.40609137055837563,0,1,writing_request,NEUTRAL
010e3841-3b59-4817-93e5-5cce0da9c676,3,3.86,75,25.0,0.0,0.9277777777777777,1,2,provide_context,NEUTRAL
760d0333-4b64-45c2-bc43-d3d92931fc75,8,9.5,477,59.625,0.25,0.8049636918551912,3,3,verification,NEUTRAL
ef652504-5e30-43ab-bbc0-f87d0ed7c5d6,1,0.0,184,184.0,0.0,0.5978260869565217,0,1,verification,NEUTRAL
3f36fe2c-83f7-40ce-b6b0-2771e75da3b4,7,18.67,198,28.285714285714285,0.14285714285714285,0.8449489107383844,6,4,writing_request,NEUTRAL
e5e7d9cb-307b-4482-928d-a7c9e12f85d8,5,4771.97,254,50.8,0.8,0.8457831325301205,2,2,conceptual_questions,NEUTRAL
c23358e0-3ad8-4c0e-850b-c7a0af344e38,7,1706.92,140,20.0,0.42857142857142855,0.8786322258371947,5,4,contextual_questions,NEUTRAL
47e6c0c9-d2f0-4c3f-958f-ea147db111b9,7,15.16,67,9.571428571428571,0.0,0.9571428571428572,0,1,conceptual_questions,NEUTRAL
dcbe067e-16e7-4fe7-8a71-791e17ee4513,1,0.0,11,11.0,1.0,0.9090909090909091,0,1,conceptual_questions,NEUTRAL
c7dd85ef-73ac-480a-9892-e1319a6ebb33,1,0.0,705,705.0,1.0,0.2765957446808511,0,1,provide_context,NEUTRAL
73278a92-4410-4c1a-82ec-cedf7e945b81,2,24.25,579,289.5,1.0,0.6369211338759473,1,2,writing_request,NEUTRAL
6c38c224-adfe-4612-ae36-79817bd64218,14,104.55,570,40.714285714285715,0.42857142857142855,0.8940112050799074,7,4,conceptual_questions,NEUTRAL
3bf55bca-40a9-440e-b604-8859c8281fc7,1,0.0,278,278.0,1.0,0.6798561151079137,0,1,provide_context,NEUTRAL
10f45c05-44af-4afb-ac8c-e8fe0411e9a5,3,5.99,437,145.66666666666666,0.0,0.6442452498266574,2,2,verification,NEUTRAL
db7753f9-536c-46eb-8a73-bba23147d4c0,3,2.84,108,36.0,0.0,0.8900343642611683,1,2,conceptual_questions,NEUTRAL
378067f3-a858-41ac-abf6-92f43803f340,1,0.0,60,60.0,0.0,0.7166666666666667,0,1,writing_request,NEUTRAL
f49c707d-9b79-4736-b794-63d2fe5e59a4,4,168.54,60,15.0,0.75,0.9705882352941176,1,2,conceptual_questions,NEUTRAL
f122a5be-dde1-4e9d-8467-9471a37aafb9,1,0.0,86,86.0,0.0,0.7325581395348837,0,1,provide_context,NEUTRAL
79229948-0986-4e76-aec1-c1b27e9adcea,4,0.85,29,7.25,0.0,0.975,3,4,conceptual_questions,NEUTRAL
cbb24362-45ed-4a65-89fa-23fa581379c9,2,1.31,540,270.0,0.5,0.6791451520367182,1,2,writing_request,POSITIVE
f70965c2-ca8b-4944-a95d-1754fdf81787,4,5.46,49,12.25,0.25,0.9456845238095237,1,2,writing_request,NEUTRAL
ae394285-ea25-43d9-811a-06dcd66d6e51,1,0.0,9,9.0,1.0,0.8888888888888888,0,1,conceptual_questions,NEUTRAL
f13174f4-3242-4dfc-9098-e6e6798e8dcc,14,63.53,4023,287.35714285714283,0.2857142857142857,0.7176651524607532,9,5,writing_request,NEUTRAL
44ab46a6-e0ca-4c66-83a7-f663aec15302,6,7.97,136,22.666666666666668,0.0,0.9067460317460317,3,3,conceptual_questions,NEUTRAL
bdf2deac-3ec3-4ff6-9038-dedff8940914,4,9.59,279,69.75,0.0,0.8634173461823573,3,3,writing_request,NEUTRAL
549a6019-5914-45f7-9009-d910c9c82bea,1,0.0,10,10.0,0.0,1.0,0,1,conceptual_questions,NEUTRAL
921b48cd-ec98-45a7-bc0e-ebcbc60a6925,3,718.55,118,39.333333333333336,0.0,0.867283950617284,1,2,conceptual_questions,NEUTRAL
8af9b37a-b881-46d7-ba4c-a6433d8a7f5d,1,0.0,12,12.0,0.0,1.0,0,1,writing_request,POSITIVE
f25f217a-b2e7-4335-85cf-7edcedbafc6f,8,544.67,2013,251.625,0.25,0.6974131715695808,7,5,writing_request,NEUTRAL
9e6a6476-9428-4285-8b6c-55fa29b6df43,3,6.29,43,14.333333333333334,1.0,0.9488636363636364,2,2,contextual_questions,NEUTRAL
f8fa0596-3a1f-4495-bb2a-077f3a5e0063,7,171.66,712,101.71428571428571,0.14285714285714285,0.5621773382526042,1,2,writing_request,NEUTRAL
d3f08c4c-2823-4fcb-9bea-fa33803e9716,24,4646.26,1365,56.875,0.0,0.842251070489327,19,5,conceptual_questions,NEUTRAL
1ef06ca5-16f9-40f5-a135-89c920118830,11,55.36,365,33.18181818181818,0.45454545454545453,0.8714725454516764,8,5,provide_context,NEUTRAL
2521536b-cd9c-44f4-9d9a-774ede1e72d2,4,13.13,20,5.0,0.0,0.96875,1,2,conceptual_questions,NEUTRAL
23bef996-01e2-480d-87c3-43e8a21bbee4,8,22.49,159,19.875,0.0,0.9523297491039426,6,5,provide_context,NEUTRAL
afdce71b-cc17-4807-a050-5ebab08d8ba6,2,2.52,678,339.0,0.0,0.5219936369485951,0,1,writing_request,NEUTRAL
b58942bf-3e64-4baf-a22c-b0e527163b69,1,0.0,94,94.0,0.0,0.7659574468085106,0,1,writing_request,NEUTRAL
24caffac-634d-4c96-9191-50442c7fdfa3,26,371.22,461,17.73076923076923,0.19230769230769232,0.9323086449675866,16,4,conceptual_questions,NEUTRAL
8c475b7a-c8e5-498a-80d2-993de13532c0,2,3.11,79,39.5,0.0,0.7782467532467532,1,2,writing_request,NEUTRAL
07d31c4a-733a-4844-8578-ee7303c9f250,11,345.65,948,86.18181818181819,0.2727272727272727,0.8483809084790852,8,3,conceptual_questions,NEUTRAL
856068e4-2077-4766-92ee-722a983ef562,19,2069.65,2019,106.26315789473684,0.3157894736842105,0.7980118310818408,13,7,writing_request,NEUTRAL
87ab7205-10c5-4403-8a40-ac06ceebcfb9,65,2314.66,3739,57.52307692307692,0.4307692307692308,0.8674460219837656,48,8,conceptual_questions,NEUTRAL
fbeca962-8c03-4f0f-8487-3d4aa6d68574,2,18.0,85,42.5,0.5,0.8066666666666666,1,2,conceptual_questions,NEUTRAL
f15776d6-5bf2-4452-b8c1-ff73ff2717b7,2,6.95,25,12.5,0.5,1.0,1,2,conceptual_questions,NEUTRAL
d4dc403c-e644-40bf-bb54-c12a73afb27c,7,130.36,456,65.14285714285714,0.14285714285714285,0.8070654006432241,5,5,writing_request,NEUTRAL
b0b6a6a7-5b70-4746-a79d-c6ad8e17bb54,1,0.0,63,63.0,1.0,0.8253968253968254,0,1,verification,NEUTRAL
804dea12-3b87-4878-b781-2201a1d87eb1,1,0.0,41,41.0,0.0,0.8292682926829268,0,1,contextual_questions,NEUTRAL
37bd300c-ff23-416d-8e8c-5c74c95ba4e0,1,0.0,6,6.0,0.0,1.0,0,1,writing_request,POSITIVE
7faa327e-4a61-4a07-9470-24e80ffcc744,15,30.12,3487,232.46666666666667,0.13333333333333333,0.7107766788291596,7,2,provide_context,NEUTRAL
125c03a8-dc2d-46ac-86b0-3f9b373f2dea,3,27.87,1543,514.3333333333334,0.3333333333333333,0.5439497010925582,1,2,provide_context,NEUTRAL
83d19551-65ca-4d93-9d1d-084c97b60cb9,3,8.04,34,11.333333333333334,0.3333333333333333,0.9722222222222222,0,1,conceptual_questions,NEUTRAL
babeaf55-1199-4222-ac10-412e5b40c56c,7,5.25,318,45.42857142857143,0.2857142857142857,0.9083165733825999,4,3,editing_request,NEUTRAL
3064a8f3-e5d6-4f56-aa04-f26c22867390,1,0.0,26,26.0,0.0,0.6538461538461539,0,1,conceptual_questions,NEUTRAL
5a31b09f-2eeb-4618-83cd-7bb4471819f8,8,17.81,7147,893.375,0.125,0.7354922771328913,5,4,writing_request,NEUTRAL
b0c51f08-1eab-4797-81d3-5cf5990ccd02,5,99.04,35,7.0,0.2,1.0,3,2,conceptual_questions,NEUTRAL
913270d0-eee2-41a2-a356-8bf51a8d05ab,5,16.96,713,142.6,0.0,0.7906588727205965,3,4,provide_context,NEUTRAL
34619181-73a8-413d-a6c1-d68755ef610a,1,0.0,1116,1116.0,1.0,0.4946236559139785,0,1,verification,NEUTRAL
44b57a86-ee5c-4fd8-9052-41f45d65bfd8,1,0.0,2279,2279.0,1.0,0.3444493198771391,0,1,writing_request,NEUTRAL
1cc93bd0-ba8a-4017-ac1a-9aa3ff0e5cc0,12,1913.46,256,21.333333333333332,0.0,0.9490878383093951,2,2,conceptual_questions,NEUTRAL
11bb3cf3-bfcd-4992-b902-46813db2d814,25,4266.53,356,14.24,0.08,0.9495197064329192,15,5,conceptual_questions,NEUTRAL
1a95319c-e694-41ce-8043-65ebd925ccc5,2,1.61,403,201.5,1.0,0.6383920339295592,1,2,writing_request,NEUTRAL
